"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AAK1",0,-0.318341568175326,0.683,0.699,0
"ABCA7",0,-0.190079118985351,0.101,0.167,0
"ABCC1",0,-0.406857494085484,0.247,0.363,0
"ABHD12",0,-0.230422859094638,0.267,0.351,0
"ABHD14B",0,-0.271828666421656,0.323,0.415,0
"ABHD15-AS1",0,-0.308287000783019,0.345,0.414,0
"ABHD18",0,-0.222659169363099,0.198,0.279,0
"AC004448.2",0,-0.394136767703568,0.608,0.635,0
"AC004596.1",0,-0.163508369940202,0.097,0.168,0
"AC004687.1",0,-0.552017773869689,0.219,0.308,0
"AC004951.1",0,-0.111545411836016,0.028,0.085,0
"AC006064.4",0,-0.398856154152627,0.596,0.653,0
"AC007098.1",0,-0.175958479958538,0.032,0.126,0
"AC007192.2",0,-0.192048159447632,0.134,0.205,0
"AC007780.1",0,-0.280531053276756,0.201,0.312,0
"AC008105.3",0,-0.363437407710948,0.152,0.246,0
"AC008443.1",0,-0.140680246625551,0.064,0.129,0
"AC008569.1",0,-0.191601452707462,0.084,0.163,0
"AC008735.2",0,-0.204598974829892,0.121,0.203,0
"AC009093.2",0,-0.224545028692193,0.059,0.136,0
"AC009133.1",0,-0.362472915494366,0.529,0.532,0
"AC010519.1",0,-0.185504979894391,0.064,0.139,0
"AC010609.1",0,-0.158902979331824,0.052,0.115,0
"AC010894.3",0,-0.410534845139321,0.549,0.653,0
"AC011446.1",0,-0.452577129476498,0.37,0.389,0
"AC011468.3",0,-0.360812888887613,0.178,0.355,0
"AC011511.2",0,-0.118399961620825,0.051,0.115,0
"AC011603.2",0,-0.341506167352764,0.511,0.611,0
"AC015849.1",0,-0.380771323901255,0.265,0.413,0
"AC016831.7",0,-0.543919548359505,0.23,0.377,0
"AC017050.1",0,-0.14856356282414,0.059,0.139,0
"AC023509.6",0,-0.171411110562366,0.068,0.136,0
"AC025283.2",0,-0.18001908829606,0.085,0.162,0
"AC027644.3",0,-0.226692849181281,0.098,0.173,0
"AC034102.4",0,-0.174803579915234,0.173,0.258,0
"AC060765.2",0,-0.18479740626763,0.124,0.214,0
"AC064843.1",0,0.110101677196237,0.045,0.004,0
"AC068724.3",0,-0.416467913592315,0.547,0.648,0
"AC068888.1",0,-0.267740337148273,0.339,0.424,0
"AC074032.1",0,-0.17339953262499,0.083,0.158,0
"AC079793.1",0,-0.349728542877682,0.146,0.244,0
"AC079949.3",0,-0.170184809909427,0.042,0.138,0
"AC080132.1",0,-0.180337827739476,0.065,0.172,0
"AC090771.2",0,-0.135726184662678,0.06,0.142,0
"AC092069.1",0,-0.23002293207253,0.633,0.555,0
"AC092821.3",0,-0.201543536705629,0.2,0.279,0
"AC093423.2",0,-0.161569845828208,0.063,0.131,0
"AC093503.2",0,-0.883396776329497,0.729,0.749,0
"AC099560.1",0,-0.217101659332989,0.117,0.243,0
"AC104389.5",0,-0.130912872442664,0.066,0.141,0
"AC105052.4",0,-0.094578956214107,0.029,0.079,0
"AC105402.3",0,0.478080740027369,0.146,0.049,0
"AC109460.2",0,-0.12519788870189,0.057,0.12,0
"AC116348.3",0,-0.246518002785299,0.093,0.199,0
"AC117481.1",0,-0.188282191376749,0.11,0.204,0
"AC130324.2",0,-0.167000311657825,0.047,0.107,0
"AC133550.2",0,-0.177515352758315,0.094,0.189,0
"AC135178.4",0,-0.215413084700945,0.192,0.298,0
"AC138123.1",0,-0.216335602058904,0.386,0.436,0
"AC245140.2",0,-0.120205516848886,0.078,0.151,0
"AC246785.3",0,-0.120653418349919,0.056,0.112,0
"ACADVL",0,-0.479812750634698,0.437,0.534,0
"ACAP1",0,-0.327655823178624,0.493,0.573,0
"ACOT2",0,-0.130219048840774,0.083,0.155,0
"ACSF3",0,-0.202245361116249,0.204,0.269,0
"ACTN4",0,-0.706671137273544,0.876,0.839,0
"ACTR1A",0,-0.231794350838775,0.445,0.487,0
"ACTR1B",0,-0.392340577050769,0.3,0.392,0
"ADA",0,-0.253739207101595,0.435,0.483,0
"ADA2",0,-0.304431561968891,0.278,0.36,0
"ADAD1",0,-0.070244327564225,0.001,0.05,0
"ADAMTSL4-AS1",0,-0.107075828642135,0.027,0.077,0
"ADD1",0,-0.312737180081533,0.539,0.576,0
"ADGRE5",0,-0.433260087830653,0.524,0.598,0
"ADGRL3-AS1",0,-0.147496587747105,0.148,0.227,0
"AFF3",0,-0.191186216462121,0.042,0.113,0
"AIP",0,-0.559770463032368,0.725,0.746,0
"AK1",0,-0.142260965775443,0.047,0.102,0
"AKAP13",0,-0.35921345661834,0.699,0.705,0
"AKAP8L",0,-0.323423587538532,0.315,0.395,0
"AKNA",0,-0.496088709299553,0.579,0.665,0
"AKR1A1",0,-0.303979673323879,0.52,0.546,0
"AL021707.1",0,-0.30848136713207,0.116,0.223,0
"AL022311.1",0,-0.14343066473544,0.089,0.169,0
"AL117381.1",0,-0.171132303130885,0.045,0.113,0
"AL133415.1",0,-0.245975697697609,0.321,0.429,0
"AL133453.1",0,-0.118243997472256,0.639,0.568,0
"AL136018.1",0,-0.129984388362751,0.059,0.125,0
"AL136454.1",0,-0.44619975680389,0.236,0.429,0
